主要貨品外銷訂單金額,,,,,,,,,,,
單位：百萬美元,,,,,,,,,,,
,,,,,,,,,,,
年  月  別,,總計,資訊通信,電子產品,精密儀器,基本金屬,塑橡膠製品,化  學  品,機　　械,電機產品,礦產品及其他
,,,,,,,,,,,
73年,,"31,776 ","1,113 ","3,623 ",668 ,"2,416 ","1,494 ",445 ,"1,462 ",763 ,"1,707 "
74年,,"31,735 ","1,333 ","3,110 ",603 ,"2,412 ","1,619 ",413 ,"1,492 ",793 ,"2,095 "
75年,,"41,141 ","2,469 ","4,032 ",864 ,"2,880 ","2,222 ",617 ,"1,975 ","1,029 ","1,934 "
76年,,"53,741 ","3,812 ","5,713 ","1,194 ","3,644 ","2,945 ",801 ,"3,100 ","1,511 ","2,371 "
77年,,"60,768 ","5,023 ","6,713 ","1,466 ","4,589 ","3,849 ","1,117 ","4,138 ","1,996 ","2,702 "
78年,,"65,771 ","4,451 ","8,068 ","1,668 ","5,158 ","4,317 ","1,055 ","4,607 ","2,175 ","4,155 "
79年,,"67,706 ","4,956 ","7,435 ","1,630 ","5,559 ","4,354 ","1,375 ","5,517 ","2,400 ","4,143 "
80年,,"74,953 ","5,860 ","7,787 ","1,983 ","5,729 ","5,041 ","1,521 ","6,068 ","2,510 ","4,961 "
81年,,"80,918 ","6,601 ","8,388 ","2,202 ","6,313 ","5,373 ","1,813 ","7,065 ","2,983 ","4,695 "
82年,,"85,884 ","8,525 ","10,061 ","2,108 ","6,736 ","5,826 ","2,016 ","6,970 ","3,289 ","7,178 "
83年,,"94,588 ","10,803 ","12,176 ","2,254 ","7,807 ","6,126 ","2,220 ","7,124 ","3,798 ","7,726 "
84年,,"113,549 ","15,248 ","16,311 ","2,389 ","9,324 ","7,662 ","3,037 ","7,594 ","4,132 ","9,534 "
85年,,"118,955 ","18,150 ","17,001 ","2,374 ","9,793 ","7,562 ","3,698 ","7,871 ","4,133 ","12,102 "
86年,,"123,800 ","20,408 ","19,610 ","2,634 ","10,677 ","7,619 ","4,457 ","7,333 ","4,125 ","12,230 "
87年,,"118,837 ","21,463 ","18,643 ","2,193 ","10,307 ","6,913 ","3,866 ","6,978 ","4,336 ","12,093 "
88年,,"127,468 ","23,459 ","22,205 ","2,543 ","11,277 ","7,312 ","3,974 ","7,809 ","4,437 ","12,670 "
89年,,"153,431 ","27,654 ","34,209 ","3,145 ","13,875 ","8,977 ","4,767 ","8,177 ","5,688 ","13,675 "
90年,,"135,715 ","24,251 ","26,123 ","3,639 ","12,505 ","8,070 ","4,899 ","8,021 ","5,065 ","14,094 "
91年,,"150,949 ","30,182 ","29,080 ","3,890 ","14,612 ","8,399 ","5,499 ","9,031 ","5,011 ","16,310 "
92年,,"170,024 ","35,002 ","33,892 ","6,371 ","15,267 ","9,268 ","6,532 ","9,607 ","5,837 ","18,672 "
93年,,"215,081 ","40,294 ","47,028 ","11,530 ","20,083 ","12,128 ","9,028 ","12,221 ","8,910 ","23,174 "
94年,,"256,400 ","50,176 ","57,188 ","15,630 ","21,679 ","14,926 ","10,998 ","13,291 ","13,908 ","27,796 "
95年,,"299,312 ","61,735 ","68,821 ","20,645 ","24,564 ","16,145 ","13,276 ","13,967 ","17,157 ","30,668 "
96年,,"345,809 ","74,950 ","79,466 ","27,921 ","28,389 ","19,072 ","16,220 ","15,728 ","17,956 ","32,239 "
97年,,"351,728 ","79,855 ","82,094 ","28,485 ","28,110 ","19,957 ","18,825 ","14,648 ","16,926 ","30,372 "
98年,,"322,432 ","79,323 ","78,205 ","28,187 ","21,226 ","18,197 ","15,431 ","10,485 ","16,768 ","27,974 "
99年,,"406,714 ","100,588 ","99,345 ","36,699 ","27,137 ","23,636 ","21,780 ","16,122 ","20,811 ","28,484 "
100年,,"436,121 ","109,029 ","101,908 ","36,718 ","30,652 ","25,485 ","24,603 ","20,849 ","17,892 ","31,447 "
101年,,"441,004 ","110,563 ","103,346 ","37,012 ","28,701 ","24,893 ","23,258 ","20,645 ","17,568 ","36,007 "
102年,,"442,929 ","116,191 ","106,007 ","34,437 ","27,435 ","23,980 ","22,913 ","20,079 ","16,218 ","35,987 "
103年,,"472,814 ","127,083 ","118,682 ","32,274 ","28,515 ","23,765 ","22,785 ","22,418 ","16,434 ","40,816 "
104年,,"451,814 ","133,234 ","115,652 ","27,001 ","24,136 ","20,589 ","20,043 ","20,647 ","15,591 ","26,539 "
,,,,,,,,,,,
,,,,,,,,,,,
資料來源：經濟部統計處「外銷訂單統計」。,,,,,,,,,,,
